Pair,Date,Keeper,Cleaning (Y/N),"Breeding (N, Sit, Chick, Molt)",Hack Box Male (Y/N),Window Attacking Male (Y/N),Alarm Calls Male (#),Alarm Calls Female (#),Directed Non-Alarm Calls Male (#),Directed Non-Alarm Calls Female (#),Non-Directed Non-Alarm Calls Male (#),Non-Directed Non-Alarm Calls Female (#),Food Timing Male,Food Timing Female,Wait Location Male,Wait Location Female,Start Time,End Time,Length,Length (in seconds),Notes,Afternoon Alarm Calls Male (#),Afternoon Alarm Calls Female (#),Afternoon Directed Non-Alarm Calls Male (#),Afternoon Directed Non-Alarm Calls Female (#),Afternoon Non-Directed Non-Alarm Calls Male (#), Afternoon Non-Directed Non-Alarm Calls Female (#),Afternoon Food Timing Male,Afternoon Food Timing Female,Afternoon Wait Location Male,Afternoon Wait Location Female,Afternoon Start Time,Afternoon End Time,Afternoon Length,Afternoon Length (in seconds),Afternoon Notes
AL173_AL177,25-Jun,Kaleo,N,N,N,N,0,0,0,0,1,0,1,2,2,2,9:23:00 AM,9:25:32 AM,0:02:32,152,,0,0,0,0,4,0,2,2,2,0,1:58:45 PM,1:59:48 PM,0:01:03,63,
AL231_AL163,25-Jun,Kaleo,N,Sit,Y,Y,0,0,0,0,0,0,1,0,1,0,10:22:52 AM,10:26:40 AM,0:03:48,228,,0,0,9,0,0,0,1,0,1,0,2:27:38 PM,2:29:08 PM,0:01:30,90,
AL116_AL035,25-Jun,Kaleo,N,N,Y,Y,8,2,0,0,6,8,1,2,2,2,10:12:57 AM,10:20:35 AM,0:07:38,458,,0,5,0,0,3,0,0,1,0,0,2:24:14 PM,2:25:34 PM,0:01:20,80,
AL109_AL153,25-Jun,Kaleo,Y,N,N,N,0,0,0,0,11,0,0,1,0,0,7:35:49 AM,7:47:39 AM,0:11:50,710,Up ladder for min after feedout but no rxn,0,0,0,0,3,0,0,2,0,2,1:05:35 PM,1:07:50 PM,0:02:15,135,
AL238_AL234,25-Jun,Kaleo,N,N,N,N,0,0,0,0,9,1,1,2,0,0,9:13:03 AM,9:15:33 AM,0:02:30,150,,0,0,0,0,1,2,1,1,0,0,1:53:38 PM,1:55:13 PM,0:01:35,95,Tour during feedout
AL249_AL257,25-Jun,Kaleo,Y,N,N,N,0,0,0,0,1,0,1,1,1,1,8:34:27 AM,8:49:51 AM,0:15:24,924,,0,0,0,0,0,0,0,1,0,1,1:33:18 PM,1:37:54 PM,0:04:36,276,
AL193_AL213,25-Jun,Kaleo,Y,N,N,N,0,0,0,0,0,0,2,0,1,1,8:33:51 AM,8:49:48 AM,0:15:57,957,,3,0,0,0,23,3,2,0,1,1,1:34:36 PM,1:37:55 PM,0:03:19,199,Koa moved from 3-4 back into only 4
AL226_AL229,25-Jun,Kaleo,Y,N,N,N,4,7,0,0,5,13,1,1,1,1,7:51:15 AM,8:08:20 AM,0:17:05,1025,Alarms during main door opening,0,0,0,0,0,0,1,1,1,0,1:10:47 PM,1:14:27 PM,0:03:40,220,
AL118_AL100,26-Jun,Kaleo,N,N,N,N,0,0,0,0,3,0,0,0,0,0,7:36:46 AM,7:43:33 AM,0:06:47,407,,0,0,0,0,21,0,1,1,0,1,2:07:37 PM,2:12:57 PM,0:05:20,320,
AL228_AL221,25-Jun,Kaleo,Y,N,N,N,0,0,0,0,9,34,1,2,1,2,8:13:13 AM,8:31:37 AM,0:18:24,1104,"F beg between first and  second start/stops; up ladder for a minute, no rxn ",0,0,0,0,0,1,1,1,1,0,1:18:07 PM,1:21:31 PM,0:03:24,204,
AL160_AL162,26-Jun,Kaleo,N,N,N,N,0,0,0,0,10,0,1,1,1,0,7:48:24 AM,7:56:30 AM,0:08:06,486,,0,0,0,0,6,0,1,1,1,1,1:43:21 PM,1:47:04 PM,0:03:43,223,
AL223_AL156,25-Jun,Kaleo,Y,N,N,N,0,0,0,1,6,49,1,2,2,1,7:10:49 AM,7:30:01 AM,0:19:12,1152,,0,0,0,0,2,0,1,1,1,1,12:59:03 PM,1:02:11 PM,0:03:08,188,
AL204_AL208,26-Jun,Kaleo,N,N,N,N,0,0,0,0,9,0,1,1,1,2,7:06:59 AM,7:16:40 AM,0:09:41,581,,0,0,0,0,0,0,1,1,0,0,1:36:49 PM,1:38:09 PM,0:01:20,80,
AL161_AL167,6-Jul,Julie,N,N,N,N,0,0,0,0,0,1,1,1,2,2,9:39:28 AM,9:41:30 AM,0:02:02,122,,0,0,0,0,0,0,1,2,1,1,2:11:43 PM,2:13:36 PM,0:01:53,113,
AL198_AL201,6-Jul,Julie,N,N,N,N,0,0,0,0,1,1,1,1,1,2,8:17:10 AM,8:19:19 AM,0:02:09,129,,0,0,0,0,2,2,2,1,2,2,1:27:02 PM,1:29:36 PM,0:02:34,154,F beg
AL195_AL164,6-Jul,Julie,N,Sit,N,N,0,2,1,2,0,7,2,1,2,0,8:10:50 AM,8:14:29 AM,0:03:39,219,,0,0,0,0,3,11,2,2,2,2,1:23:44 PM,1:25:26 PM,0:01:42,102,
AL122_AL194,6-Jul,Julie,N,Sit,N,N,0,0,0,0,12,0,1,2,0,2,8:46:36 AM,8:49:06 AM,0:02:30,150,,0,0,7,0,22,0,1,2,1,2,1:48:22 PM,1:51:05 PM,0:02:43,163,
AL197_AL209,6-Jul,Julie,N,N,N,N,0,0,0,0,0,2,1,1,1,1,8:33:13 AM,8:36:19 AM,0:03:06,186,,0,0,0,0,0,1,2,2,2,2,1:38:10 PM,1:40:49 PM,0:02:39,159,
AL114_AL147,6-Jul,Julie,N,N,N,N,0,0,0,0,29,0,0,2,2,2,8:25:46 AM,8:28:49 AM,0:03:03,183,,0,0,0,0,0,7,2,1,2,0,1:32:05 PM,1:34:57 PM,0:02:52,172,
AL178_AL181,6-Jul,Julie,Y,Chick,Y,Y,2,13,12,5,111,22,0,0,1,1,7:07:28 AM,7:14:12 AM,0:06:44,404,,0,1,8,0,81,16,0,0,1,1,1:02:37 PM,1:06:23 PM,0:03:46,226,
AL155_AL154,6-Jul,Julie,Y,Sit,N,N,7,0,1,0,13,0,1,0,0,0,7:31:05 AM,7:37:53 AM,0:06:48,408,,0,0,7,0,2,8,2,0,2,0,2:24:30 PM,2:25:55 PM,0:01:25,85,
AL149_AL091,6-Jul,Julie,Y,N,N,N,0,0,0,0,5,87,1,0,2,2,7:41:44 AM,7:49:57 AM,0:08:13,493,F beg,0,0,8,0,12,0,0,1,0,2,2:19:51 PM,2:22:20 PM,0:02:29,149,
AL225_AL075,8-Jul,Julie,Y,N,N,N,0,0,0,0,23,2,1,1,0,2,7:52:24 AM,8:01:04 AM,0:08:40,520,,0,0,0,0,0,11,0,1,0,0,1:22:13 PM,1:24:13 PM,0:02:00,120,
AL173_AL177,8-Jul,Julie,Y,N,N,N,0,0,0,0,0,0,1,0,2,0,8:05:40 AM,8:14:42 AM,0:09:02,542,,0,0,0,0,0,1,2,1,2,0,1:29:20 PM,1:32:29 PM,0:03:09,189,
AL231_AL163,8-Jul,Julie,Y,Sit,Y,Y,13,1,35,0,110,55,1,0,1,0,7:04:20 AM,7:15:58 AM,0:11:38,698,F beg after first stop (35 of the nonvocs),10,0,0,0,45,0,0,0,0,0,12:58:13 PM,1:02:00 PM,0:03:47,227,
AL116_AL035,8-Jul,Julie,Y,N,Y,Y,0,0,0,2,70,12,0,0,0,0,7:17:56 AM,7:29:46 AM,0:11:50,710,,0,0,0,0,0,1,1,1,2,2,1:05:25 PM,1:07:30 PM,0:02:05,125,
