Pair,Date,Keeper,Cleaning (Y/N),"Breeding (N, Sit, Chick, Molt)",Hack Box Male (Y/N),Window Attacking Male (Y/N),Alarm Calls Male (#),Alarm Calls Female (#),Directed Non-Alarm Calls Male (#),Directed Non-Alarm Calls Female (#),Non-Directed Non-Alarm Calls Male (#),Non-Directed Non-Alarm Calls Female (#),Food Timing Male,Food Timing Female,Wait Location Male,Wait Location Female,Start Time,End Time,Length,Length (in seconds),Notes,Afternoon Alarm Calls Male (#),Afternoon Alarm Calls Female (#),Afternoon Directed Non-Alarm Calls Male (#),Afternoon Directed Non-Alarm Calls Female (#),Afternoon Non-Directed Non-Alarm Calls Male (#), Afternoon Non-Directed Non-Alarm Calls Female (#),Afternoon Food Timing Male,Afternoon Food Timing Female,Afternoon Wait Location Male,Afternoon Wait Location Female,Afternoon Start Time,Afternoon End Time,Afternoon Length,Afternoon Length (in seconds),Afternoon Notes
AL204_AL208,21-Jul,Ariel,Y,N,N,N,0,0,0,0,4,0,0,1,1,1,7:56:58 AM,8:05:29 AM,0:08:31,511,,0,0,0,0,0,0,1,1,1,1,1:21:04 PM,1:23:09 PM,0:02:05,125,
AL207_AL186,29-May,Kaleo,Y,N,N,N,0,0,0,0,2,0,2,2,2,2,8:37:20 AM,8:44:32 AM,0:07:12,432,,0,0,0,0,0,0,2,2,2,2,1:38:41 PM,1:40:18 PM,0:01:37,97,
AL207_AL186,7-Jun,Julie,Y,Sit,N,N,0,0,0,0,0,0,2,1,2,0,7:57:54 AM,8:05:54 AM,0:08:00,480,,0,0,0,0,0,0,2,2,2,0,1:08:32 PM,1:11:07 PM,0:02:35,155,
AL207_AL186,15-Jun,Lisa,Y,Sit,N,N,0,0,0,0,0,1,1,1,0,0,8:32:46 AM,8:40:17 AM,0:07:31,451,,0,0,0,0,0,0,1,2,2,2,1:08:44 PM,1:10:30 PM,0:01:46,106,
AL207_AL186,22-Jun,Kaleo,N,Sit,N,N,0,0,0,0,0,0,2,0,2,0,9:06:11 AM,9:08:25 AM,0:02:14,134,,0,0,0,0,0,0,2,2,2,2,1:03:03 PM,1:04:00 PM,0:00:57,57,
AL207_AL186,6-Jul,Julie,N,N,N,N,0,0,0,0,0,0,2,2,2,2,8:41:04 AM,8:42:41 AM,0:01:37,97,,0,0,0,0,1,0,2,2,2,2,1:43:36 PM,1:45:49 PM,0:02:13,133,
AL207_AL186,15-Jul,Ariel,Y,N,N,N,0,0,0,0,0,0,1,1,0,0,8:10:04 AM,8:15:32 AM,0:05:28,328,,0,0,0,0,0,0,1,2,2,2,1:40:52 PM,1:43:16 PM,0:02:24,144,
AL216_AL159,6-Jul,Julie,Y,N,N,N,0,0,1,0,2,8,1,2,2,2,7:54:59 AM,8:04:18 AM,0:09:19,559,,16,5,0,0,10,2,2,2,2,2,2:32:39 PM,2:34:04 PM,0:01:25,85,
AL216_AL159,22-Jun,Kaleo,Y,Sit,N,N,0,0,0,0,0,0,1,1,1,0,7:58:48 AM,8:05:52 AM,0:07:04,424,,0,0,1,0,7,0,1,2,2,2,2:06:48 PM,2:09:14 PM,0:02:26,146,
AL216_AL159,15-Jun,Lisa,N,N,N,N,0,0,0,0,0,0,1,1,0,0,9:44:28 AM,9:47:08 AM,0:02:40,160,,0,0,0,0,0,0,0,0,0,0,1:52:40 PM,1:54:36 PM,0:01:56,116,
AL216_AL159,7-Jun,Julie,N,N,N,N,0,0,0,0,3,6,1,1,2,2,9:44:01 AM,9:46:48 AM,0:02:47,167,,0,0,9,0,22,0,2,2,2,2,2:26:15 PM,2:28:37 PM,0:02:22,142,
AL216_AL159,29-May,Kaleo,N,Sit,N,N,0,0,2,2,3,2,2,1,2,2,7:28:36 AM,7:30:59 AM,0:02:23,143,,0,0,0,0,5,0,2,2,2,2,1:09:59 PM,1:11:00 PM,0:01:01,61,
